questionId,id,text
why_do_clouds_form,depressed,To make us depressed
why_do_clouds_form,moisture,Because moisture in the air condenses
why_do_clouds_form,sun,To get revenge on the sun
who_invented_javascript,sun,Sun Microsystems
who_invented_javascript,netscape,Netscape
who_invented_javascript,microsoft,Microsoft
the_answer,forty_two,42
the_answer,thirty_eight,38
the_answer,sixty_seven,67
the_js_frameworks_libraries,react_js, React.js,
the_js_frameworks_libraries,angular, Angular,
the_js_frameworks_libraries,lodash,lodash,
the_js_frameworks_libraries,c_sharp,C#,
the_js_frameworks_libraries,java, Java